"inv","it","alpha.mn","gamma","beta.t","beta.s","distr"
5585,132,73.375,693,0.627103788249343,0.8394725590869,"discr"
5655,133,73.75,702,0.607690845572839,0.837821607241604,"discr"
5726,134,74.03125,710,0.619486799814322,0.843200757099996,"discr"
5798,135,73.3125,710,0.628162251858337,0.848814051080207,"discr"
5870,136,74.28125,723,0.613970148136764,0.844904554177975,"discr"
5943,137,72.9375,720,0.641207348828107,0.8434137817985,"discr"
6016,138,73.125,706,0.604412230169724,0.835143508865073,"discr"
6087,139,74.28125,711,0.627184429073787,0.83346715428107,"discr"
6159,140,75.78125,728,0.634127722961448,0.836528931484489,"discr"
6232,141,72.28125,720,0.63214375588495,0.836958190885874,"discr"
6305,142,74.28125,730,0.638109872150058,0.843135413023191,"discr"
6379,143,73.96875,728,0.637884743382839,0.84278652160668,"discr"
6452,144,73.84375,719,0.609786011149162,0.826575733372657,"discr"
6524,145,72.625,711,0.632268429746214,0.832475976581912,"discr"
6596,146,75.5625,726,0.610078596490248,0.83905930580445,"discr"
6669,147,74.6875,719,0.603885052226514,0.84211917253009,"discr"
6741,148,75.625,726,0.556977368991602,0.8384212316132,"discr"
6814,149,75.28125,725,0.598707249192102,0.843031006777747,"discr"
6887,150,71.28125,721,0.61283398733304,0.838771063535955,"discr"
6960,151,71.25,724,0.592770070922133,0.839555264475309,"discr"
7033,152,72.40625,709,0.618314048429268,0.837701215732658,"discr"
7104,153,72.875,711,0.618680544857347,0.837074624601633,"discr"
7176,154,73.21875,714,0.622988328221431,0.835556634602515,"discr"
7248,155,73.03125,710,0.619118329112103,0.834268732086015,"discr"
7320,156,73.65625,713,0.585665466037398,0.829048305770407,"discr"
7392,157,75.5625,698,0.611216543469962,0.829224429196516,"discr"
7462,158,74.28125,684,0.619742476472902,0.832235836043855,"discr"
7531,159,75.21875,682,0.599817688235183,0.834753795497784,"discr"
7600,160,72.4375,669,0.58229964932999,0.824392603830878,"discr"
7667,161,75.9375,670,0.567628362299764,0.825640749681441,"discr"
7735,162,72.40625,662,0.574112633667629,0.812910869570991,"discr"
7802,163,75.5625,669,0.59608569752568,0.829246837481813,"discr"
7869,164,73.875,661,0.56941410567674,0.832520100498494,"discr"
7936,165,75.09375,672,0.616546957031972,0.83017913747751,"discr"
8004,166,73.25,677,0.586564101056429,0.829652470322108,"discr"
8072,167,74.21875,683,0.605270525405389,0.832571338414027,"discr"
8141,168,74.25,698,0.609902252002698,0.838491951548437,"discr"
8211,169,74.65625,701,0.608732005473329,0.834569533274331,"discr"
8282,170,73.53125,711,0.63751049111543,0.836736798804696,"discr"
8354,171,72.59375,719,0.614774403571056,0.852212051881551,"discr"
8426,172,74.46875,725,0.639760223600261,0.838367286582745,"discr"
8499,173,72.71875,737,0.625160114340078,0.842773781600761,"discr"
8573,174,73.78125,739,0.640936432162889,0.844609142006187,"discr"
8647,175,72,740,0.654975506805263,0.847244387779013,"discr"
8722,176,71.375,734,0.638613590758259,0.844595711884274,"discr"
8796,177,73.625,712,0.601519800028236,0.838525730714249,"discr"
8868,178,73.1875,706,0.589068243137095,0.842766364351887,"discr"
8939,179,74.59375,692,0.614020097389006,0.840928574256355,"discr"
9009,180,74.03125,699,0.605935751279446,0.8348564797746,"discr"
9079,181,76.15625,707,0.607164296248324,0.845056360976318,"discr"
9150,182,74.875,706,0.601361597694064,0.836858052693483,"discr"
9221,183,72.84375,693,0.628561642140654,0.835131129817594,"discr"
9291,184,73.03125,687,0.626559414721836,0.841293969409629,"discr"
9360,185,70.625,682,0.611445889914402,0.83043678734866,"discr"
9429,186,74.8125,694,0.61951360713622,0.834471354815002,"discr"
9499,187,73.09375,694,0.629549560883527,0.83774645171918,"discr"
9569,188,71.78125,702,0.62430225574088,0.835973716353296,"discr"
9640,189,71.6875,695,0.623245144405033,0.840206891333454,"discr"
9710,190,72.90625,708,0.662626353557932,0.850906207957984,"discr"
9781,191,74.875,723,0.647798996303041,0.846876035983335,"discr"
9854,192,71.75,735,0.62014304573066,0.850262483612566,"discr"
9928,193,73.59375,731,0.623454792448549,0.854582381792692,"discr"
10002,194,74.21875,732,0.56893421534516,0.852088161066561,"discr"
1,1,1,1,5.35911979364214e-13,0.055721965790259,"betaDiscr0.4"
2,2,2,2,5.3058371270068e-13,0.0475350269941286,"betaDiscr0.4"
3,3,3,3,8.98470999434937e-12,0.0798038789086409,"betaDiscr0.4"
4,4,4,4,7.69486017487394e-13,0.0912699243044764,"betaDiscr0.4"
5,5,5,5,5.76123081000219e-12,0.0940673062628778,"betaDiscr0.4"
6,6,6,6,1.54941927603413e-10,0.0972451913726305,"betaDiscr0.4"
7,7,6.34375,7,4.6838763961185e-07,0.0843915297925494,"betaDiscr0.4"
8,8,7.34375,8,5.02892561021463e-06,0.0997190554978547,"betaDiscr0.4"
9,9,7.5,9,2.43205866329063e-06,0.0931788626002083,"betaDiscr0.4"
10,10,8.5625,10,4.18088338277079e-07,0.0999355133526652,"betaDiscr0.4"
12,11,10.0625,12,2.26356752211401e-09,0.116805392169224,"betaDiscr0.4"
